sampleID,condition
W431825,mTEC-IV
W431828,mTEC-IV
W431831,mTEC-IV
W431837,mTEC-IV
W431844,mTEC-IV
W431850,mTEC-IV
W431854,mTEC-IV
W431863,mTEC-IV
W431866,mTEC-IV
W431867,mTEC-IV
W431871,mTEC-IV
W431883,mTEC-IV
W431884,mTEC-IV
W431885,mTEC-IV
W431894,mTEC-IV
W431895,mTEC-IV
W431897,mTEC-IV
W431899,mTEC-IV
W431900,mTEC-IV
W431910,mTEC-IV
W431911,mTEC-IV
W431924,mTEC-IV
W431926,mTEC-IV
W431940,mTEC-IV
W431947,mTEC-IV
W431952,mTEC-IV
W431953,mTEC-IV
W431954,mTEC-IV
W431960,mTEC-IV
W431964,mTEC-IV
W431965,mTEC-IV
W431974,mTEC-IV
W431975,mTEC-IV
W431982,mTEC-IV
W431992,mTEC-IV
W431994,mTEC-IV
W431996,mTEC-IV
W432001,mTEC-IV
W432003,mTEC-IV
W432005,mTEC-IV
W432006,mTEC-IV
W432008,mTEC-IV
W432009,mTEC-IV
W432011,mTEC-IV
W432013,mTEC-IV
W431442,mTEC-IV
W431450,mTEC-IV
W431452,mTEC-IV
W431453,mTEC-IV
W431458,mTEC-IV
W431462,mTEC-IV
W431463,mTEC-IV
W431475,mTEC-IV
W431479,mTEC-IV
W431481,mTEC-IV
W431486,mTEC-IV
W431489,mTEC-IV
W431490,mTEC-IV
W431493,mTEC-IV
W431505,mTEC-IV
W431507,mTEC-IV
W431514,mTEC-IV
W431518,mTEC-IV
W431519,mTEC-IV
W431525,mTEC-IV
W431535,mTEC-IV
W431536,mTEC-IV
W431539,mTEC-IV
W431540,mTEC-IV
W431546,mTEC-IV
W431553,mTEC-IV
W431560,mTEC-IV
W431561,mTEC-IV
W431574,mTEC-IV
W431579,mTEC-IV
W431580,mTEC-IV
W431587,mTEC-IV
W431588,mTEC-IV
W431590,mTEC-IV
W431598,mTEC-IV
W431603,mTEC-IV
W431604,mTEC-IV
W431606,mTEC-IV
W431613,mTEC-IV
W431615,mTEC-IV
W431617,mTEC-IV
W431618,mTEC-IV
W431620,mTEC-IV
W431626,mTEC-IV
W431628,mTEC-IV
W431629,mTEC-IV
W431251,mTEC-IV
W431252,mTEC-IV
W431270,mTEC-IV
W431273,mTEC-IV
W431277,mTEC-IV
W431278,mTEC-IV
W431279,mTEC-IV
W431292,mTEC-IV
W431293,mTEC-IV
W431294,mTEC-IV
W431297,mTEC-IV
W431298,mTEC-IV
W431301,mTEC-IV
W431304,mTEC-IV
W431306,mTEC-IV
W431308,mTEC-IV
W431312,mTEC-IV
W431317,mTEC-IV
W431319,mTEC-IV
W431320,mTEC-IV
W431323,mTEC-IV
W431324,mTEC-IV
W431326,mTEC-IV
W431333,mTEC-IV
W431336,mTEC-IV
W431337,mTEC-IV
W431339,mTEC-IV
W431341,mTEC-IV
W431342,mTEC-IV
W431343,mTEC-IV
W431344,mTEC-IV
W431346,mTEC-IV
W431359,mTEC-IV
W431361,mTEC-IV
W431363,mTEC-IV
W431365,mTEC-IV
W431367,mTEC-IV
W431373,mTEC-IV
W431376,mTEC-IV
W431378,mTEC-IV
W431379,mTEC-IV
W431381,mTEC-IV
W431386,mTEC-IV
W431393,mTEC-IV
W431394,mTEC-IV
W431406,mTEC-IV
W431407,mTEC-IV
W431409,mTEC-IV
W431410,mTEC-IV
W431413,mTEC-IV
W431414,mTEC-IV
W431415,mTEC-IV
W431416,mTEC-IV
W431426,mTEC-IV
W431436,mTEC-IV
W431437,mTEC-IV
W431439,mTEC-IV
W431440,mTEC-IV
W416474,mTEC-IV
W416477,mTEC-IV
W416484,mTEC-IV
W416493,mTEC-IV
W416502,mTEC-IV
W416505,mTEC-IV
W416507,mTEC-IV
W416514,mTEC-IV
W416515,mTEC-IV
W416516,mTEC-IV
W416517,mTEC-IV
W416519,mTEC-IV
W416521,mTEC-IV
W416524,mTEC-IV
W416525,mTEC-IV
W416532,mTEC-IV
W416533,mTEC-IV
W416538,mTEC-IV
W416543,mTEC-IV
W416544,mTEC-IV
W416549,mTEC-IV
W416553,mTEC-IV
W416554,mTEC-IV
W416563,mTEC-IV
W416564,mTEC-IV
W416567,mTEC-IV
W416575,mTEC-IV
W416578,mTEC-IV
W416579,mTEC-IV
W416584,mTEC-IV
W416587,mTEC-IV
W416592,mTEC-IV
W416594,mTEC-IV
W416596,mTEC-IV
W416597,mTEC-IV
W416598,mTEC-IV
W416599,mTEC-IV
W416605,mTEC-IV
W416607,mTEC-IV
W416609,mTEC-IV
W416610,mTEC-IV
